5000 100001
2415 1385 53
4678 3805 40
2931 1374 62
1906 3763 77
2436 1827 7
2734 4406 35
3648 3531 7
3188 2371 94
2996 2146 27
398 4271 89
3027 3707 17
235 1056 1
3764 4965 31
1453 724 79
1140 3276 66
2721 757 58
1619 588 12
4867 1180 60
4795 1495 2
3324 2747 27
4544 2033 38
4261 3610 82
1588 2552 72
327 963 77
2999 2623 99
4697 2328 52
331 1821 31
690 9 66
3949 75 35
341 1917 97
1380 2530 87
2500 704 98
3402 1298 92
1027 4025 32
145 1699 96
3807 1401 88
4160 147 3
2551 2878 62
602 3090 63
1676 888 36
3730 1094 59
3162 1850 8
1169 4051 23
1848 624 13
4558 2395 88
1537 4147 58
1316 2653 82
3910 4814 83
3221 1551 43
3249 3977 83
550 3715 84
4605 4468 73
650 1084 72
949 1627 62
1792 3579 15
341 2704 79
3507 4232 37
4179 4587 93
4541 454 8
4198 3228 40
3692 97 50
1355 3548 88
1372 2961 18
833 4623 3
4426 3463 85
2985 382 77
3337 387 56
3946 4069 76
1639 2225 86
4268 414 42
2806 3983 12
861 3746 32
113 323 81
1944 2724 42
1461 1116 89
4968 173 43
4816 2951 31
4256 1735 47
1466 4906 77
577 859 1
4168 515 71
3014 4580 95
3032 3494 96
1552 3993 92
3908 4003 22
2767 776 91
4809 3081 52
423 726 17
2236 1008 98
4282 3082 69
2562 4501 93
2641 1200 25
1585 1936 98
1825 3405 81
1918 2665 23
3392 2111 37
2070 3239 65
4819 4660 2
1730 3807 78
931 4983 8
4841 4430 65
3280 502 45
2322 4059 86
2759 1170 44
2603 3042 50
2709 261 62
4530 374 80
2012 958 92
2588 903 51
2298 538 14
3191 3203 15
3067 203 25
1131 342 79
1946 2515 88
3303 609 10
4429 4031 87
1717 2540 48
434 169 11
2422 2425 57
1055 4862 29
1116 580 5
876 307 32
1011 1457 39
1476 1596 4
650 2792 85
614 2239 64
187 2482 31
2603 2165 72
326 459 39
4526 1363 64
3765 3982 67
4450 1888 56
2526 57 23
1168 2343 20
1814 4902 5
4082 904 20
1294 2466 57
699 3853 69
2982 1882 98
1476 907 27
3641 4684 97
2935 4475 71
4226 521 88
883 70 86
4886 4441 56
3795 568 82
4411 3794 34
1812 2897 30
1964 4304 29
326 3022 11
408 643 100
4643 2463 41
1177 2287 46
803 4784 65
2952 4474 32
1167 993 29
2704 4560 28
1706 2676 9
3411 3682 95
584 772 69
2826 4339 5
1612 2091 15
1561 288 5
4735 896 28
1711 4332 65
1334 2007 59
1779 4598 49
2933 4371 94
4228 125 55
4889 1148 27
337 815 25
1864 1941 88
303 1886 61
1864 4874 45
4604 2498 8
3763 2437 36
4153 1764 85
1051 3082 56
3622 3067 21
1125 3965 65
795 2135 58
635 3263 54
1214 4880 3
524 4562 65
4165 4847 46
2407 3288 10
664 3521 10
4330 495 24
51 1602 30
4205 4211 95
4957 4579 89
3615 2594 39
74 1334 31
2084 628 99
4759 4454 77
329 950 69
970 2173 7
65 2439 65
545 4973 54
4881 2211 88
780 1393 67
223 818 92
4868 237 43
3296 2652 48
926 3101 86
1596 471 74
4957 4049 15
65 2424 48
4524 4574 82
2705 2121 24
1877 4636 61
2031 1211 5
913 2497 78
2978 1157 86
1817 4407 48
4961 3638 63
3159 4758 57
2766 1922 5
108 4221 76
284 2341 82
4324 4132 41
4568 4284 16
2722 2221 47
442 4279 14
2750 4518 18
150 2854 24
3911 1095 84
3089 3291 94
4368 2661 84
1001 1759 92
1503 1586 80
2423 1513 77
3269 3888 46
918 3095 16
3527 564 82
3131 3391 17
4350 2009 97
2532 4106 36
3748 2123 69
614 438 80
1767 681 97
1486 1308 88
4339 1523 88
275 1981 33
1046 4854 14
3554 4910 93
2560 1072 5
1684 4692 21
4182 4058 98
2698 4512 83
4764 1782 9
2735 1603 66
4873 3135 93
4370 4976 74
737 1854 92
1200 1692 78
1174 1969 62
2059 2906 25
1552 2179 56
415 3063 87
4762 4572 44
671 496 30
4181 2037 75
2213 4117 54
889 1304 12
2157 932 78
249 4565 41
346 3415 14
975 289 1
191 1563 92
2809 1338 22
2626 568 42
2986 3971 44
3857 293 48
3685 1874 8
449 912 2
2642 4525 5
1451 1836 45
1620 2156 40
3043 3099 42
2364 868 22
2290 905 4
1255 2069 67
2625 2882 8
4844 451 3
3076 3005 86
3099 3536 71
2952 2145 4
3074 2312 62
26 3174 100
3898 2563 75
251 4937 1
3262 3074 20
186 1048 52
405 3823 51
2835 542 98
3007 1185 80
629 1607 19
2651 664 60
1157 1507 84
1689 1014 23
2445 1035 46
733 3349 86
1317 3349 2
3765 1109 35
3322 4747 66
2974 2257 35
4385 478 67
4245 2063 8
342 4957 84
2237 4210 4
1623 1756 51
776 3316 12
2063 2509 24
957 529 41
4747 4682 45
1172 383 67
4732 1964 75
3967 523 58
763 2165 15
818 787 15
3 2076 39
4687 1686 87
1621 1953 95
2006 3567 92
1314 993 10
2596 4783 37
339 525 13
863 3317 2
4524 2354 11
3100 4635 54
1164 4820 17
1708 1952 98
2286 2048 13
2784 780 26
2758 3534 75
1024 2607 19
1050 830 97
2780 518 55
4994 1519 52
2120 2180 63
1786 867 98
3250 290 73
1400 7 91
1594 1145 85
2344 3988 26
4463 3266 35
4436 2802 80
1280 1933 32
1276 3389 51
3638 2573 80
17 2496 24
1414 2642 80
2215 4586 63
3564 4644 54
1324 2216 61
4689 74 23
3176 2009 32
3781 422 55
4931 249 15
3105 1331 27
3004 267 50
413 1840 13
439 3338 4
3968 2799 83
595 4843 23
1521 528 32
487 2859 33
4627 3448 72
783 4030 24
2359 699 98
734 2171 21
1321 1516 21
2463 4636 25
1332 2189 51
1046 1411 90
2706 4108 56
4429 3262 55
1045 432 57
2574 1411 21
1922 2723 95
4764 689 60
1936 416 57
4634 332 25
4815 1436 54
2853 634 19
4396 3886 39
2241 2198 64
495 4620 58
2243 1490 89
4278 3282 86
3212 2883 81
789 1634 3
1733 4628 28
4318 3294 100
2901 2644 69
2965 179 14
603 1533 78
1801 3224 22
4966 3971 32
3543 770 5
1163 2555 28
2952 1423 67
1675 4473 39
697 4175 86
1942 442 75
1522 4897 94
3929 977 100
568 3038 6
582 2043 19
1958 1140 91
3351 1972 16
4801 610 63
2371 2446 31
2588 1819 33
1621 2078 72
4539 4043 96
1845 10 85
3029 1443 82
2797 666 2
4631 2853 57
2875 3163 35
2775 4645 35
4782 3042 34
4611 3947 45
2877 1811 32
4830 134 51
784 2850 45
916 2644 10
2894 3868 31
151 2700 66
3588 4806 17
4682 1179 26
1174 3942 13
4479 3667 2
4594 4457 73
4584 116 12
3838 4332 6
1157 449 18
4808 2928 58
4581 1541 15
108 3067 50
2675 781 93
4273 4318 78
3717 2610 33
856 3582 36
1083 2751 8
988 3361 69
4819 2877 31
624 2460 63
3991 2771 94
4725 2525 82
3331 117 31
4553 3700 32
3561 1759 92
633 4559 23
2139 4070 30
4574 914 80
645 3078 79
4630 741 63
4899 2905 3
3709 3778 74
2628 2061 94
672 3677 19
4062 668 45
4695 3445 15
1611 4062 55
2883 2060 27
1111 2300 64
2959 3065 20
404 1842 63
3141 705 83
4319 4841 62
2742 95 80
2347 3172 63
1154 1112 27
2422 435 12
4870 2495 59
1812 682 74
1901 4019 2
1760 1435 83
2125 1519 87
3795 143 33
2540 4438 37
4386 916 4
1340 4412 89
452 3374 47
917 2714 79
1654 578 6
1463 360 46
4140 3505 66
2224 4861 27
1411 3907 14
3871 2293 82
888 3682 24
2468 1416 86
641 2469 36
950 2881 29
469 1592 50
3245 50 78
1660 79 93
3698 275 62
32 4118 25
310 1427 56
695 2636 24
261 141 65
2111 1712 37
4819 83 13
1764 2188 93
4714 1155 63
3696 2359 79
4921 2572 85
1640 3221 11
252 4515 15
3169 4253 90
2369 4742 49
3308 4985 85
188 717 21
1167 2516 39
3249 2538 22
2770 361 48
1921 3525 3
2443 2372 37
733 2121 74
4581 2218 39
2092 3391 73
4418 3139 70
2150 2534 23
4717 3126 3
1291 2322 17
3084 4826 51
162 3490 69
1945 2501 97
565 1465 59
4176 2212 60
163 4735 67
4797 1236 12
943 4014 24
2319 457 64
4939 2327 30
311 671 48
4742 9 54
1790 2723 64
840 61 46
2613 586 67
3182 4800 3
4288 4848 1
4811 1300 61
4401 686 30
3705 1510 30
2955 2640 67
4407 2208 88
3048 849 32
3595 3113 83
1361 761 28
2335 34 83
2952 4638 93
1669 2919 41
539 4745 99
4824 3528 85
64 3030 87
183 633 93
1777 2986 30
4192 813 12
2628 542 56
427 2315 13
4269 1404 44
174 1180 2
122 2499 35
734 3547 38
4770 279 26
1732 1235 5
423 3914 100
4962 3072 50
1215 3224 91
1841 2902 67
2470 1428 77
2289 1213 37
776 93 42
4851 2577 22
3529 3841 78
3548 1487 22
4199 4243 89
861 2419 74
4153 3323 67
2333 84 81
1455 2639 44
2516 3944 30
4931 1590 41
1552 4133 95
2170 2619 35
288 2342 48
4028 350 23
4217 2164 74
2012 418 35
904 1050 60
935 2105 3
801 3145 38
4575 175 82
278 3299 29
2572 1055 100
922 3826 15
480 475 20
1492 1336 34
2716 3038 85
500 2842 48
4922 1813 13
2574 566 86
4178 4185 22
3224 1389 91
3243 2742 30
2481 2637 50
4277 4435 50
2028 1592 19
580 1556 20
1012 2548 87
2923 1303 29
487 4190 87
1964 2094 63
77 1490 32
1648 3195 95
3048 2697 87
64 777 61
271 3367 9
4664 1031 16
329 2829 36
1772 3818 50
2482 2762 32
2881 2024 82
3793 4451 27
4957 204 64
2338 76 2
2157 2616 48
457 3733 27
2450 2156 79
2756 1685 86
4366 4394 61
3838 382 56
3696 178 43
4077 670 58
2579 610 61
3136 1749 75
1510 1202 19
3237 607 35
4019 2147 49
3810 1338 51
1145 2547 64
4651 1186 27
3608 4925 89
4682 671 83
3577 31 11
2130 3680 72
3022 4806 82
4810 1146 81
2804 811 51
660 2979 82
1900 2631 34
352 4563 47
4953 1 3
3886 3412 84
4970 4289 88
1626 3066 52
880 2979 7
2379 2478 63
1828 3440 19
2565 3171 1
1824 4322 77
676 243 28
806 4032 93
343 2468 93
3921 3744 15
2087 2813 92
2688 767 8
2379 4742 87
1316 2929 42
1503 1216 69
3924 819 28
1444 947 94
2239 1153 49
4572 3910 47
2327 2101 20
2509 1327 50
1734 1313 46
1331 2123 74
4997 2629 46
1152 2194 84
1807 4746 68
2041 1771 6
2536 2718 12
1461 2021 6
2436 367 63
619 4993 45
4730 357 29
4412 1532 93
639 3725 20
3889 2386 40
1408 862 84
1973 2531 35
2265 1094 32
948 1729 69
722 4390 4
2736 4980 57
4812 4438 23
4804 3044 15
4161 264 47
576 536 23
915 1572 72
2206 4791 78
3417 1753 55
2605 1980 38
3574 3348 95
4421 4976 81
375 3518 25
2529 678 28
554 4316 6
880 723 95
1772 3104 48
3201 424 18
1320 1645 1
4156 4015 98
1316 4942 15
728 1957 42
4317 2508 36
1498 633 41
3480 3611 35
1848 1498 45
4827 3097 34
3980 4199 79
899 2225 80
1610 1535 47
1654 1711 99
4275 2000 15
4363 2606 24
3320 3974 90
650 2924 13
1284 4395 11
3526 2484 95
3855 1395 9
11 362 51
283 3957 29
2944 2646 13
1778 1709 14
461 1078 78
3079 2855 24
922 1481 9
2572 3109 84
3374 1377 34
56 4519 62
4109 4065 96
510 2829 45
3960 1541 60
1446 3198 4
2624 3493 10
2265 3842 39
2139 3065 7
3652 755 75
3566 1597 12
4285 2557 46
2403 1559 68
2763 3230 50
1636 954 42
4211 2622 54
3783 533 5
746 2512 16
4698 2742 69
591 146 13
1850 835 31
1350 1345 80
255 196 68
4313 2304 64
1989 4883 100
2286 2473 19
3979 3122 2
1877 3743 33
509 2255 66
3586 236 17
2311 3302 8
4744 2418 84
2745 1111 45
3685 848 7
3255 806 13
1677 1575 10
4639 3201 82
279 2561 83
2716 341 62
1689 940 17
1663 2101 33
2518 4151 48
587 1017 16
1659 635 78
696 544 4
1208 4543 72
1203 4321 7
2944 2560 100
2195 1504 92
4922 4248 20
1253 3558 40
4861 3833 90
1125 4610 4
2915 2590 79
2924 641 45
2781 2037 99
2217 3608 48
2543 3628 89
4016 269 71
397 2400 84
1925 4062 16
910 4022 94
1990 4605 21
1581 2270 50
436 1094 33
2133 2645 30
1483 17 40
1497 703 33
3868 1897 59
1719 1255 84
256 1836 67
3352 307 52
97 3728 41
1315 1911 98
1704 1577 20
1795 2374 38
3794 2451 77
1049 4649 54
216 1302 42
2482 3605 57
1882 1993 3
209 4328 45
2350 2440 17
1563 545 65
4019 3353 87
4124 507 47
286 2673 7
4364 3163 23
278 128 26
3694 1846 44
1577 3103 48
490 3338 67
750 2419 10
1947 334 34
3119 2094 16
2122 4050 3
4662 182 93
1312 2911 68
2623 848 97
1575 3893 13
2760 4405 75
3221 3185 73
4084 1034 20
4804 2255 15
4400 483 70
4338 1256 68
4027 1067 47
4868 1284 30
4688 4488 83
2111 3740 87
3307 3024 80
4535 1269 24
2053 1184 22
1095 4937 13
1796 2539 63
1248 4899 93
4443 3208 94
2814 4992 13
731 156 65
132 3739 40
2205 387 41
3922 1614 64
3972 2031 16
2125 155 62
1391 2518 53
520 1739 78
194 3016 27
2447 2932 91
624 2888 1
984 782 96
3764 4380 90
1409 2234 28
258 702 71
4707 3167 40
2144 377 49
2871 352 8
2444 2253 34
4194 1709 70
4533 3047 34
3942 2751 5
1435 1528 69
4449 3993 19
908 624 84
1250 392 98
3364 3379 77
4310 3859 83
2190 2862 22
2356 4456 40
3605 4056 60
988 1852 55
60 268 96
4895 612 14
3245 3218 11
4725 252 59
4003 2158 100
3157 3325 24
553 2216 10
2918 22 13
655 2396 15
4068 118 21
4433 4379 33
1452 2689 22
2482 3084 38
614 4220 100
2603 2803 45
255 768 93
325 80 15
1416 1958 93
1318 1278 48
3500 3388 53
150 4703 1
4434 2333 61
2154 482 81
2281 2336 82
1395 3551 55
1272 1302 67
686 1308 32
3196 1173 84
1622 2114 24
680 3646 84
3850 4512 13
2037 1112 11
945 4031 11
500 1653 72
95 2036 59
3141 3450 47
3261 3284 48
2098 3495 22
3308 4176 99
4053 3414 83
1046 1338 83
537 63 99
1954 3872 45
3027 664 27
2914 4666 11
3390 2989 94
2170 3692 87
3642 2004 54
1385 902 46
4199 457 59
630 454 8
1488 4245 100
2135 2913 15
1879 3000 36
566 4230 50
2286 1072 97
3320 1795 89
291 2583 51
876 1746 63
1106 864 47
2507 1463 11
4363 1543 14
2050 4697 69
4584 2547 33
1235 246 51
4228 3528 100
4202 913 45
2291 1421 15
4362 2137 15
3740 3185 69
2023 2566 66
1301 2132 84
3623 4258 21
3607 1014 55
1035 1238 97
4870 1804 94
218 452 26
4594 1315 90
4168 90 7
35 4341 9
4958 4684 97
4789 3025 26
363 4494 45
4630 2833 100
1694 1487 29
4165 2359 83
990 4924 65
2535 2794 3
3803 1428 13
1658 2147 94
1701 4893 18
2473 3676 72
517 700 43
2205 2393 29
3444 2930 36
1414 4078 59
1184 2721 92
2630 620 48
695 3505 9
838 520 52
946 4605 13
4604 2322 54
2434 4219 45
3966 72 33
1978 1116 93
4302 13 18
2667 3701 57
1685 1573 44
2811 4771 82
4201 2152 44
3869 2988 79
4836 2224 22
1386 1042 93
489 2326 5
3022 997 1
3782 536 11
2133 1159 6
2069 2658 98
579 685 72
3029 1005 93
1212 1300 56
1301 627 71
682 4998 17
38 2024 64
1812 4851 25
4823 86 11
1641 4571 82
2239 3913 19
2386 2416 73
994 1641 25
3382 1357 27
224 2161 17
2677 3503 99
4721 476 16
3111 3542 30
511 3649 65
2648 2415 28
2380 1819 76
2595 3605 2
1488 498 63
2902 39 96
4003 322 23
4376 1578 94
2603 4320 79
119 2903 57
2340 2049 6
2558 3220 91
4271 1033 27
2242 2362 99
4254 785 57
1548 1136 76
1232 3426 45
4716 4105 45
2813 2445 52
1787 2500 57
2092 2316 97
4112 3098 84
720 3149 14
2008 3716 60
1467 635 25
4912 4763 66
1113 3558 39
3590 3364 51
735 592 6
243 4113 45
2548 2390 34
451 375 68
1865 2424 100
1271 4741 50
4107 2752 77
3546 1183 78
2838 4708 45
954 2208 99
1984 291 8
4393 4325 3
4290 202 54
779 4277 46
2348 2440 63
4372 3466 71
3043 1909 12
4607 1919 4
3432 3804 79
4482 4637 5
999 297 57
1961 4781 5
4593 819 67
3199 2424 40
4697 4865 17
3393 3786 58
1824 4749 76
1050 430 52
4898 885 7
169 1273 77
3514 1597 53
1328 4079 41
436 3430 51
2588 3105 42
1660 4680 99
3689 1598 67
3116 2940 51
1433 2452 86
3946 2924 33
1393 4018 10
2609 931 85
1222 2549 4
2409 4466 87
3226 1195 16
1079 1969 75
2096 1946 12
4563 4237 73
3080 2463 2
4816 3043 32
2298 4120 100
3507 651 61
29 517 12
3652 4465 17
4701 2110 27
473 2219 73
2318 2144 44
2767 2279 36
2191 2723 100
3576 3232 7
3103 1280 27
3563 3910 55
2511 2307 75
2461 4773 65
3587 2101 61
703 587 21
2448 4616 59
2985 3602 48
4886 2292 23
3512 3726 9
820 3221 24
634 167 51
1759 2046 63
447 422 84
1220 3104 74
3502 4359 32
2472 359 100
1082 395 16
741 1007 74
3465 1966 64
281 2755 22
2622 2148 25
4949 2411 83
200 438 47
1668 2911 39
1901 1834 27
4326 3189 36
1326 1375 58
226 1926 19
1756 3301 69
763 4877 16
2606 3813 99
3102 4338 14
4887 2015 41
393 2697 63
954 359 61
3272 2222 87
1224 2574 87
3584 4173 51
2571 589 65
1709 1809 60
4765 4757 58
66 3568 90
2177 3873 96
2253 3092 39
2617 573 73
4483 2303 22
2533 1658 55
4870 1486 75
1037 2704 47
258 2636 53
3340 1181 87
3487 311 72
39 2535 98
447 2705 98
4886 4149 89
712 1388 19
923 4222 13
174 2889 20
1759 2341 69
4984 4386 91
2665 1204 40
3155 4376 58
2901 1884 22
511 1413 63
455 647 87
215 1123 43
3498 2185 62
3038 3282 99
4999 504 26
778 4770 19
3819 4479 74
4652 3235 54
515 1922 99
1673 4484 37
4250 1690 100
4162 99 20
391 1609 60
3339 507 40
4664 2155 48
450 1290 25
679 873 19
1599 249 64
3910 689 92
4963 682 40
1722 349 60
2704 2306 73
757 176 55
4608 2018 77
54 2658 87
684 2164 2
2348 4127 52
3875 26 58
2037 2628 1
4976 579 62
3562 1941 90
3699 280 20
2616 7 75
2481 113 47
3332 4572 80
4758 2546 86
2803 552 12
2071 789 51
784 449 47
2043 3396 77
3025 4165 19
2787 1347 56
98 2826 51
224 595 56
584 1586 86
3371 4 71
2942 122 14
4844 1914 18
3367 558 5
892 1646 59
1934 3089 21
3421 4540 51
2334 4566 58
4424 446 15
2198 1552 21
333 2379 60
3326 2393 11
4471 2508 34
174 2836 41
3392 4472 26
266 2044 49
1787 4239 42
3279 1424 97
3330 755 47
1277 3974 36
2871 1666 44
200 632 54
1752 1861 42
3725 4495 31
2064 4079 42
4339 4387 99
2276 83 53
328 805 26
727 4539 97
1171 1978 69
156 4997 41
1630 1391 94
1189 545 7
2232 631 34
1517 2543 18
4926 4398 28
2833 4634 88
141 4239 47
1788 2678 67
3156 4761 8
3799 3820 17
4872 1483 42
462 3782 39
3930 2888 39
2025 962 70
3820 4524 5
3714 164 10
518 1756 43
4010 3036 33
1395 2413 45
668 3087 38
2645 3413 55
4473 2168 30
351 3966 54
1019 3195 37
2933 4708 31
307 3416 12
1010 1822 28
2644 896 34
1312 3682 49
4685 2757 80
2652 2096 33
2896 4376 42
1431 1977 32
4424 2740 90
3588 2234 68
4533 23 10
3108 946 100
3366 334 29
2762 1554 2
4441 3239 66
476 2807 94
581 518 87
2868 51 83
940 4044 80
1988 58 6
1777 2878 95
606 4574 36
4767 732 61
3738 1901 19
1487 4346 85
2374 1092 15
2575 2331 72
3783 636 2
4479 2473 36
464 268 10
2079 4173 81
1139 3096 66
1218 1736 59
2447 2384 68
2206 3868 60
2329 550 99
4029 777 90
3461 461 84
1060 3852 67
1740 2663 84
4501 2963 74
2116 355 88
3019 4316 36
2057 3505 85
2003 410 30
2229 170 14
2740 2255 58
1662 4479 41
10 1090 12
392 4742 24
2239 4716 66
82 4029 37
3495 1920 60
3820 3860 89
2391 1626 9
4718 983 10
1688 2473 26
265 2126 34
446 3975 89
1452 2170 71
793 54 59
2028 2419 47
365 1466 92
1831 467 94
1931 1671 28
4882 3651 4
3383 3534 63
1658 1142 76
2231 1150 79
4559 4842 58
2015 1969 96
3157 602 71
1098 1215 99
3576 4523 73
1703 2510 97
1148 2364 36
3968 2606 4
783 1783 70
4492 3647 33
4625 82 72
3886 249 64
4006 2686 53
966 3318 40
2189 1913 7
2659 63 46
1023 4813 82
2179 645 57
1562 4265 55
2039 880 38
4235 3745 76
4575 548 48
1572 992 70
2655 2927 94
2497 396 17
3293 170 93
2344 2692 42
608 2244 18
2433 2837 99
1434 3703 68
4509 2181 36
3475 1974 26
105 1262 55
4578 4088 53
753 778 16
4920 2192 18
1079 2744 21
3147 1500 86
1150 955 24
3589 210 63
1630 1345 55
1185 3150 18
2823 519 52
2265 4635 32
4854 1185 6
3794 4411 40
1981 4504 48
1085 2061 72
742 353 61
1171 1782 45
2382 3684 30
3755 2729 14
4109 2126 87
2554 544 39
295 4829 66
2250 4651 34
297 2429 36
2494 2734 51
2792 707 75
4200 480 70
1574 1800 27
4981 1381 85
3016 1297 52
3281 2959 80
3531 2840 31
1245 1224 34
3450 3238 47
2695 4749 2
89 1595 2
509 1918 13
2528 2997 37
4835 4821 50
1181 368 50
1828 4388 80
790 2295 75
1227 2815 84
2502 1649 26
2994 2986 57
2825 4039 76
1301 3744 16
3546 4961 63
2854 3076 25
1369 3471 48
4076 874 1
4293 3086 64
2576 1198 37
164 2322 7
3632 4332 74
891 2240 79
3281 1189 4
1597 1049 56
147 4795 83
2200 2035 70
4408 2850 52
3476 874 83
2345 3290 56
3702 4882 9
1495 4514 75
3478 4166 93
2175 208 4
4494 1133 33
2013 2596 87
440 2586 88
2384 817 73
649 3084 25
1341 1106 33
3607 1977 80
109 3055 7
3872 3429 6
3671 3843 71
1715 280 60
4939 1489 59
434 835 92
2701 455 53
3796 691 19
1266 4563 56
4317 2079 79
3433 1243 10
3421 4094 97
3266 4920 7
2944 2340 52
3486 3759 99
2728 854 57
2985 4997 31
488 2446 93
1772 3126 63
4649 4745 74
1539 1535 67
2057 2019 3
4024 4677 88
846 1507 53
2137 4047 24
4999 4980 42
1484 2175 37
3670 4108 72
2254 884 42
4452 2518 16
4395 4935 24
4130 4503 36
4805 2777 34
467 4981 14
3224 2214 90
3641 3899 23
3271 4984 80
4446 4504 44
399 2735 61
4943 3007 34
4612 510 26
1597 1971 48
3980 921 82
3696 2218 61
2257 1608 21
4391 1801 85
4084 4948 56
4000 2322 19
4434 1126 38
1037 4345 36
3657 3727 36
2222 3190 59
3071 3502 56
2700 2138 23
4513 321 89
4410 2645 32
147 3675 45
4658 4706 69
2809 4725 50
1236 88 41
2867 4327 31
3509 3252 53
1575 2091 77
1830 2102 85
1701 4102 80
4448 4936 62
2958 372 11
2220 2552 41
3282 1692 55
1822 2984 74
1549 549 54
1170 3148 42
2196 4586 97
3131 2497 35
3138 3671 70
4854 3518 42
1884 1203 75
4136 182 39
803 453 71
471 1019 81
542 149 13
799 915 19
2246 1607 82
509 3472 56
4862 3846 68
4543 1921 42
1786 2942 6
266 1187 32
1495 3428 100
2722 1518 97
1013 1361 69
4080 3345 64
2825 2153 44
2476 2591 94
984 1678 92
3421 376 70
971 1078 14
2558 4336 10
1472 1556 20
3532 4806 43
522 695 30
3075 2084 4
1503 720 10
2149 2210 69
2586 4590 45
1577 4104 79
3730 2741 44
2151 2961 68
298 3291 89
356 301 2
3052 17 44
1043 2044 91
1149 428 48
1847 3286 6
3092 4061 64
1820 4304 73
1166 5000 47
4699 3535 92
2186 853 71
3894 4646 99
795 2338 36
4716 1263 91
2880 1392 96
2308 4836 96
367 2524 90
2514 4400 24
3871 2385 73
4461 2757 39
1585 1913 47
4965 1092 93
199 2742 62
2817 2285 44
1256 543 78
2452 3634 12
4828 1352 82
327 3584 10
3140 251 59
4174 810 97
3109 4044 69
538 3035 24
293 767 89
4426 4301 25
2759 4577 83
2933 1627 29
1047 2785 78
4139 1689 4
3506 3282 40
2628 845 32
1952 2709 100
1783 708 100
738 3021 89
245 3366 44
3689 1365 18
4594 4967 91
1865 636 22
2950 2508 81
604 302 68
3518 3029 59
4003 1323 100
3287 508 76
230 2278 44
3117 3292 61
1171 2411 73
2778 4222 13
853 1941 10
2937 2724 7
2541 1742 99
4234 1799 93
2243 3761 43
3283 2342 89
4227 3299 66
1897 2141 44
4836 4302 56
4762 2046 54
2227 4116 8
1133 1600 84
4356 2205 60
4454 1533 34
241 3501 25
797 240 79
1293 3794 36
3148 424 23
4450 766 10
3656 522 48
3536 628 25
3659 525 49
3185 4180 31
4966 1287 16
1594 272 19
1888 2160 39
3829 2421 26
2083 2190 34
153 4239 85
2423 897 36
2019 546 14
4744 137 36
4856 2297 32
4019 3232 61
2105 769 59
708 3678 87
2071 3704 52
4151 300 27
635 2195 77
34 1199 19
1534 3417 13
2980 2192 59
1817 4274 40
1179 557 75
1220 1135 30
2453 96 96
1272 454 23
4423 1080 14
3436 2858 26
417 2923 46
4009 3297 20
703 1586 98
3024 2176 18
1104 3241 61
423 3081 95
2014 2013 48
2728 3922 43
2225 3191 68
13 261 77
3041 3035 5
1164 2322 29
2338 3505 91
4904 332 67
2507 461 59
3448 3402 48
